Student ID,Student Name,Year of Admission,Expected Year of Graduation
940064,Carrie Barnes,2016,2018
535146,Anne Johnson,2022,2023
309247,John Bell,2016,2022
226754,Oscar Olson,2017,2022
597959,Danielle Gregory,2019,2022
126123,Javier Fuller,2017,2022
329738,Timothy Carroll,2019,2017
933656,Brian Evans,2021,2019
356108,Jacqueline Richards,2022,2022
191258,Alan Camacho,2018,2018
559648,Michelle Fritz,2018,2020
693544,James Cruz,2020,2017
244481,Morgan Briggs,2016,2018
724211,Brandon Dominguez,2022,2019
831117,Robin Rivera,2016,2021
755875,Latoya Pham,2020,2020
562125,Patrick King,2020,2021
695800,Seth Marshall,2022,2020
389056,Scott Andrade,2017,2023
293237,Dennis Lee,2018,2022
953845,Jodi Molina,2018,2023
165543,Gina Martin,2021,2017
333585,Gina Pratt,2019,2020
737952,Matthew Salinas,2022,2018
748986,Samantha Hicks,2018,2020
904139,Kirk Delgado,2020,2023
485030,Bryan Henderson,2018,2022
902941,Lisa Cunningham,2019,2018
582199,Jessica Chaney,2017,2017
352057,Benjamin Gonzalez,2021,2021
119093,Brent Gray,2020,2021
205515,Miguel Marquez,2021,2023
334135,Joan Jones,2021,2022
134426,Tiffany Tate,2018,2019
785228,Marissa Davis,2021,2018
744312,Larry Powers,2020,2017
148258,Herbert Hunter,2020,2017
652290,Ronald Mckinney,2018,2021
983310,Maria Torres,2016,2021
382938,Michelle Rogers,2016,2020
892339,Tiffany Simon,2017,2021
314250,Brett Robinson,2022,2020
797817,Melissa Singh,2016,2021
829690,Michael Cameron,2018,2021
881795,Tracie Jimenez,2016,2018
372155,David Trujillo,2022,2020
268020,Nicole Hoover,2017,2023
859565,Nathan Dunn,2020,2017
299783,Richard Jones,2020,2019
268896,Mark Martinez,2020,2021
148871,Madeline Cordova,2016,2021
735681,Charles Moreno,2020,2021
176739,Mark Finley,2016,2023
919867,George Graham,2022,2018
274635,Heather Santos,2016,2017
934057,Mrs. Melissa Roy DVM,2018,2020
542278,Jessica Cole,2018,2018
279924,Anthony Woodard,2021,2019
719475,Aaron Adams,2016,2023
514951,Tiffany Green,2022,2022
769534,Michael Garcia,2019,2019
632840,Mary Brown,2016,2018
705594,Brittany Thompson,2021,2023
365107,Anna Bruce,2021,2022
321337,Mallory Rojas,2016,2018
820665,Andrew Mcdaniel,2021,2021
296318,Michael Harmon,2019,2022
227286,Brittany Rich,2019,2021
542430,Curtis Herrera,2022,2018
196288,Mariah Guzman,2019,2019
781076,Patricia Martin,2021,2019
727772,Amanda Parker,2017,2020
893745,Diana Brown,2018,2021
995738,James Chen,2018,2019
684398,Tyler Scott,2022,2023
924931,Stephanie Rubio,2020,2018
205734,Paul West,2022,2020
267638,Zachary Boyd,2020,2020
329766,Julia Holder,2022,2019
406761,Amy Dixon,2018,2018
959961,Erin Mullen,2022,2021
177613,Kathryn Camacho,2022,2019
488831,Kara Mclaughlin,2016,2018
658976,Mrs. Morgan Sullivan,2020,2018
140370,Lisa Gray,2022,2017
538492,Mark Jimenez,2021,2017
476654,Michael Long,2017,2020
227544,Matthew Wade,2016,2023
580194,Kimberly Medina,2020,2020
648786,Crystal Buchanan,2022,2022
464643,John Paul,2016,2021
581977,Daniel Conrad,2021,2020
450268,Richard Huff,2022,2022
540421,Terry Gray,2018,2020
485417,Justin Collins,2017,2019
706413,Jessica Dickerson,2021,2017
723561,Diane Nelson,2016,2022
364588,Rachel Martinez,2017,2022
468604,Maxwell Macias,2022,2023
721032,Crystal Fuller,2019,2022
677757,Donna Howard,2022,2019
577908,Jorge Owens,2020,2019
730873,Debra Thompson,2020,2020
144476,Wanda Campos,2016,2018
431460,Walter Hernandez,2017,2017
884871,Juan Smith,2017,2023
980406,Erin Perez,2016,2022
186328,Amanda Lopez,2019,2017
206456,Robert Norton,2017,2022
704441,Anthony Simmons,2018,2021
543045,Vincent Merritt,2021,2023
746447,Cynthia Martinez,2022,2018
122265,Danielle Matthews,2021,2018
197627,Alejandra Ross,2017,2020
176672,Brett Wilson DDS,2021,2021
601395,Stephanie Wheeler,2017,2020
661424,Shaun Ruiz,2018,2020
812997,Andrew Ibarra,2019,2017
413422,Lindsay Fernandez,2016,2019
674865,Scott Higgins,2021,2017
788806,Troy Schultz,2022,2018
153003,Allen Myers,2020,2020
744357,Patrick Torres,2022,2018
620913,Maria Morgan,2016,2020
322335,Shelby Davis,2018,2017
296324,Erica Anderson,2017,2021
230051,Robert Hinton,2016,2019
452767,Cindy Alvarado,2017,2018
321728,Shannon Andrade,2020,2019
266890,Brian White,2018,2022
286797,Angela Norris,2018,2017
370795,Benjamin Briggs,2017,2017
887673,Cole Walters,2016,2018
268954,Wendy Mcgee,2019,2017
194408,William Abbott,2022,2023
894403,Rachel Davis,2016,2020
403684,Patricia Glover,2020,2020
488042,Kimberly Lewis,2016,2023
389139,Rhonda Newman,2022,2017
205632,Larry Jones,2020,2019
783479,Raymond Bryant,2017,2021
529856,Catherine Rogers,2019,2018
631015,Marcus Perkins,2020,2023
456129,Christopher Carlson,2016,2021
696435,Kim Washington,2016,2018
729591,April Matthews,2016,2019
811661,Ronnie Schmidt,2021,2020
388230,Kimberly Young,2021,2017
722222,Jon Sims,2018,2022
851897,Dana Elliott,2022,2022
601944,Jason Richardson,2022,2019
469351,James Warren,2017,2017
960870,Christine Lopez,2020,2019
335654,Lisa Dunlap,2017,2023
527272,Anthony Reed,2018,2019
874270,Jeffrey Thompson,2018,2019
843495,William Black,2021,2017
506393,Jessica Mann,2019,2022
122444,Kim Montgomery MD,2021,2019
809361,Mary Jackson,2019,2023
591106,Gary Salazar,2017,2019
372280,Shane Evans,2021,2021
408988,Teresa Daniels,2017,2021
769748,Barbara Rodriguez,2021,2020
148650,Kenneth Black,2016,2020
558343,Hannah Thomas,2022,2018
989792,Richard Valdez,2019,2019
731141,Philip Sanchez,2021,2018
297758,Richard Carlson,2017,2021
150807,Lynn Kaufman,2020,2022
545523,Brandi Collier,2022,2019
246513,Jessica Evans,2020,2023
207784,Diane Williams,2021,2021
719522,Gregory Valdez,2018,2022
640723,Austin Aguirre,2019,2019
493398,Michael Perkins,2021,2023
488209,Todd Caldwell,2019,2022
640899,Brent Yang,2017,2018
692637,Nicole Mason,2018,2020
276524,Jennifer Thompson,2017,2020
309989,William Ryan,2016,2021
296166,Angela Johnson,2017,2021
152994,William Morris,2016,2018
654405,Stacey Romero DDS,2022,2021
435908,Mary Yang,2020,2023
752968,Brett Glenn,2022,2018
894710,Nancy Ward,2018,2023
892369,Jonathan Gordon,2018,2019
610583,Erika Young,2022,2023
518567,Patricia Castro,2018,2017
245814,Kaylee Olson,2016,2021
815151,Stephanie Chavez,2018,2022
855707,Rose Torres,2016,2019
593464,Donald Lynn,2020,2023
756528,Kathryn Nicholson,2017,2020
370722,Mark Hamilton,2019,2018
925433,Patrick Stone,2018,2022
312414,Cody Thompson,2019,2019
727207,Sydney Guzman,2020,2019
797543,Sandra Reynolds,2019,2020
837446,Tracy Riley,2020,2019
583180,John Freeman,2022,2021
376812,Timothy Hickman,2022,2020
247703,Kaitlin Boyd,2018,2021
120538,Rebecca Lee,2022,2021
830551,Jennifer Harris,2020,2022
305075,Kimberly Solis,2021,2017
190447,Sergio Morales,2022,2022
518219,Robert Johnson,2019,2017
971169,Calvin Greene,2017,2020
841021,Adam Douglas,2021,2017
516731,Linda Waters,2022,2023
540688,Donna Smith,2018,2023
573875,Robin Clark DDS,2016,2021
457303,Logan Davenport,2019,2017
467578,Kelsey Knox,2021,2021
539034,Melanie Wise,2016,2019
181894,Michael Jenkins,2022,2023
677105,Jimmy Walters,2022,2023
173288,Eric Washington,2020,2019
151155,Sandra Roberts MD,2020,2023
213221,Devin Ramos,2016,2022
332227,Albert Mclaughlin,2019,2020
728830,Matthew Brady,2016,2022
299122,Bryan Blankenship,2018,2019
898248,Brittany Diaz,2020,2018
937465,Alejandro Hill,2019,2019
112178,Austin Carrillo,2020,2022
661123,Alexis Thompson,2019,2023
317340,Daniel Long,2016,2022
419514,Laura Harvey,2018,2021
212233,Isaiah Foster,2017,2019
327506,Desiree Patterson,2019,2019
589888,Diane Mcgee,2020,2019
525100,Matthew James,2019,2021
362257,Louis Johnson,2017,2018
160740,Nicholas Rojas,2018,2023
871426,Darlene Smith,2021,2017
802084,Terri Cruz,2020,2021
528239,Diana Johnson,2017,2022
782189,Steve Patterson,2021,2018
303390,Roger Werner,2018,2020
327622,Dylan Brown,2020,2018
327559,Christopher Doyle,2019,2021
821515,Adam Elliott,2019,2019
660984,Samantha Smith,2017,2022
153780,Jacqueline Garza,2022,2017
471849,Sarah Brown,2016,2019
632225,Brandi Mckee,2016,2021
345721,Tyler Jones,2022,2020
280336,Richard Thompson,2019,2022
495448,Jessica Knox,2016,2019
655498,Veronica Banks,2020,2018
459279,James Johnson,2022,2020
678809,Ryan Simon,2022,2019
616254,Pamela Brown,2016,2022
773451,Craig Young,2021,2019
673709,Robert Dyer,2020,2022
592188,Mariah Blankenship,2021,2021
311480,Thomas Nguyen,2018,2019
719530,Gregory Martin,2017,2019
301524,Robert Clayton,2018,2018
634801,Becky Mack,2022,2019
970458,Randy Guerra,2019,2020
251849,Michelle Moore,2019,2017
230146,Eric West,2018,2021
624064,Jack Lewis,2016,2021
335783,Natalie Pena,2021,2019
474198,Danielle Ramirez,2019,2019
924737,Danielle Vasquez,2021,2023
419320,Rhonda Johnson,2016,2020
508467,Catherine Atkinson,2016,2019
613518,Pamela Underwood,2016,2017
649349,Jason Fields,2019,2019
259876,Jessica Wilson,2019,2020
375023,Hannah Chandler,2016,2018
176874,Jason Gonzalez,2016,2021
353261,Sarah Garner,2021,2019
497836,Dawn Craig,2017,2022
201317,Dawn Williamson,2019,2017
994351,Margaret Watts,2022,2022
556001,Logan Chambers,2017,2023
927111,Elizabeth Anderson,2019,2018
735446,Max Vincent,2019,2023
768400,Caitlin Novak,2019,2017
324965,Tonya Byrd,2016,2023
547488,Todd Escobar,2020,2020
463184,Melinda Zimmerman,2018,2021
470562,Andrea Daniels,2022,2021
329452,Lori Marshall,2016,2023
297741,Joseph Schroeder,2018,2020
369918,Elizabeth Woodard,2022,2021
370559,Kristine Wagner,2021,2020
274444,Mary Velez,2018,2020
939769,Michelle Lewis,2019,2022
921850,Ashley Maldonado,2022,2017
100149,Patrick Martinez,2018,2021
224757,Andrea Morse,2022,2018
696721,Michelle Thomas,2019,2019
467604,Troy Moore,2018,2018
566229,Matthew Haney,2021,2022
492661,Amanda Baker,2020,2022
176916,Jon Fry,2021,2023
517504,Cheryl Goodwin,2019,2018
151055,Jay Miller,2017,2019
979612,Peter Benton,2016,2022
293599,Michelle White,2022,2021
115622,William Nichols,2018,2021
403802,Kevin Lindsey,2021,2023
812426,Mr. Kevin Johnson DVM,2017,2019
400023,Jacob Coleman,2019,2019
564863,Nicholas Murillo,2021,2018
958862,Kenneth Davis,2016,2018
912556,Jacqueline Jackson,2020,2017
722524,Ashley Dunn,2019,2021
564789,Michael Walker,2021,2019
895312,Elizabeth Hall,2016,2017
437475,Karen Estes,2022,2019
260527,Michael Austin,2019,2021
873650,Ellen Davis,2022,2020
210178,James Martinez,2022,2022
760114,Edward Leon,2020,2020
679016,Ronald Irwin,2019,2021
794587,Christina Glover,2016,2019
722067,Nicole Montgomery,2017,2018
823924,Anthony Yang,2017,2018
168764,James Davis,2021,2018
443866,Amber Pearson,2022,2020
177191,Daniel Strong,2019,2017
548552,Amanda Foster,2019,2018
917451,Sylvia Baker,2021,2022
584915,William Park,2018,2019
115609,Angela Cummings,2018,2022
494702,Sheri Casey,2016,2021
860137,Karen Lewis,2018,2019
889122,Stephanie Sandoval,2022,2021
750115,Tristan Kim,2018,2019
498247,Robert Cruz,2018,2020
507490,Randall Miller,2019,2017
786454,Justin Walker,2018,2020
423730,David Freeman,2019,2019
695899,Lindsey Winters,2020,2023
495557,Tony Shannon,2018,2020
536884,Adam Rodriguez,2018,2019
480914,Joseph Taylor,2017,2017
545055,Johnny Moreno,2019,2018
570744,Jacob Ramos,2018,2017
530567,Jill Delgado,2019,2022
344145,Misty Park,2019,2017
600078,Lisa Ellis,2021,2022
664575,Amanda Taylor,2016,2017
287657,Helen Phillips,2016,2023
945454,Sarah Moore,2017,2017
105393,Sarah Davila,2022,2023
523956,James Morales,2020,2021
401546,David English,2017,2019
375366,Ms. Deanna Johnson,2022,2019
909366,Karen Ross,2020,2020
807418,Steven Gallagher,2018,2021
200488,Robert Gregory,2018,2022
819051,Courtney Hall,2020,2023
936319,Terry Webb,2020,2023
847193,Ryan Wilkerson,2020,2020
201364,Angela Eaton,2020,2020
454134,Jessica Smith,2020,2021
505998,Tracy Schneider,2016,2020
723641,Eric Davis,2022,2020
340414,Heather Brewer,2021,2019
353461,Edward Rodriguez,2020,2021
756387,Stacy Brewer,2022,2019
405796,John Wallace,2020,2021
263100,Patrick Maynard,2022,2019
664696,Jonathan Johnson,2019,2021
704875,Neil Allen Jr.,2021,2017
627075,Richard Myers,2021,2017
504088,Barbara Simmons,2019,2021
285886,Christine Watts,2019,2022
363782,Paul George,2019,2020
594349,Madison Johnson,2018,2022
842329,Jill Clark,2017,2018
816681,Richard Silva,2020,2020
278013,Monica Mckee,2018,2019
779558,Brandon Bautista,2019,2017
554777,James Hood,2022,2018
526109,Chelsey Cooper,2018,2023
835014,Anthony Boyd,2022,2021
868438,Joshua Rice,2016,2020
442522,Thomas Tapia,2016,2022
913340,Jennifer Robinson,2020,2023
115649,Denise Andrews,2020,2023
794351,Caitlin Brock,2022,2022
749878,Nicole Blake,2022,2018
539483,Lisa Matthews,2020,2022
599114,Cheryl Johnson,2018,2018
436455,Lisa Moore,2022,2021
