Student ID,Student Name,Specialization
589765,Debra Olson,Web Development
214810,Allen Schroeder,Data Science
206184,James Sullivan,Web Development
981852,Debra Moore,Artificial Intelligence
732768,Arthur Ramos,Network Security
903389,Earl Simmons,Web Development
586293,Nicholas Herrera,Artificial Intelligence
132339,Tanya Cunningham,Machine Learning
779707,Justin Gonzalez,Web Development
374078,Allen Howard,Network Security
498961,Daniel Munoz,Network Security
351672,Angel Cole,Web Development
572842,Brandon Hill,Machine Learning
417941,Taylor Sullivan,Machine Learning
130234,Devon Gonzalez,Network Security
319133,Matthew Garza,Machine Learning
707565,Samuel Perez,Network Security
560365,Jason Wong,Artificial Intelligence
559001,Joshua Cox,Data Science
202956,Elizabeth Davidson,Machine Learning
683417,Mrs. Melissa Peterson,Data Science
329436,Jennifer Medina,Web Development
175295,Terry Simmons PhD,Machine Learning
163299,Julie Elliott,Web Development
813512,Spencer Olson,Web Development
609076,Dr. Autumn Carlson MD,Web Development
437537,Jeffrey Shaw,Data Science
544867,Kimberly Johnson,Web Development
940064,Carrie Barnes,Data Science
535146,Anne Johnson,Machine Learning
309247,John Bell,Machine Learning
226754,Oscar Olson,Data Science
597959,Danielle Gregory,Data Science
126123,Javier Fuller,Web Development
329738,Timothy Carroll,Network Security
933656,Brian Evans,Network Security
356108,Jacqueline Richards,Data Science
191258,Alan Camacho,Artificial Intelligence
559648,Michelle Fritz,Artificial Intelligence
693544,James Cruz,Artificial Intelligence
244481,Morgan Briggs,Artificial Intelligence
724211,Brandon Dominguez,Web Development
831117,Robin Rivera,Web Development
755875,Latoya Pham,Network Security
562125,Patrick King,Machine Learning
695800,Seth Marshall,Web Development
389056,Scott Andrade,Web Development
293237,Dennis Lee,Network Security
953845,Jodi Molina,Data Science
165543,Gina Martin,Web Development
333585,Gina Pratt,Web Development
737952,Matthew Salinas,Artificial Intelligence
748986,Samantha Hicks,Web Development
904139,Kirk Delgado,Artificial Intelligence
485030,Bryan Henderson,Network Security
902941,Lisa Cunningham,Machine Learning
582199,Jessica Chaney,Machine Learning
352057,Benjamin Gonzalez,Data Science
119093,Brent Gray,Artificial Intelligence
205515,Miguel Marquez,Network Security
334135,Joan Jones,Artificial Intelligence
134426,Tiffany Tate,Data Science
785228,Marissa Davis,Web Development
744312,Larry Powers,Machine Learning
148258,Herbert Hunter,Machine Learning
652290,Ronald Mckinney,Machine Learning
983310,Maria Torres,Machine Learning
382938,Michelle Rogers,Web Development
892339,Tiffany Simon,Data Science
314250,Brett Robinson,Machine Learning
797817,Melissa Singh,Artificial Intelligence
829690,Michael Cameron,Data Science
881795,Tracie Jimenez,Web Development
372155,David Trujillo,Artificial Intelligence
268020,Nicole Hoover,Web Development
859565,Nathan Dunn,Data Science
299783,Richard Jones,Artificial Intelligence
268896,Mark Martinez,Network Security
148871,Madeline Cordova,Network Security
735681,Charles Moreno,Machine Learning
176739,Mark Finley,Network Security
919867,George Graham,Data Science
274635,Heather Santos,Web Development
934057,Mrs. Melissa Roy DVM,Machine Learning
542278,Jessica Cole,Artificial Intelligence
279924,Anthony Woodard,Network Security
719475,Aaron Adams,Data Science
514951,Tiffany Green,Web Development
769534,Michael Garcia,Artificial Intelligence
632840,Mary Brown,Artificial Intelligence
705594,Brittany Thompson,Web Development
365107,Anna Bruce,Data Science
321337,Mallory Rojas,Network Security
820665,Andrew Mcdaniel,Artificial Intelligence
296318,Michael Harmon,Data Science
227286,Brittany Rich,Machine Learning
542430,Curtis Herrera,Artificial Intelligence
196288,Mariah Guzman,Artificial Intelligence
781076,Patricia Martin,Network Security
727772,Amanda Parker,Data Science
893745,Diana Brown,Artificial Intelligence
995738,James Chen,Machine Learning
684398,Tyler Scott,Data Science
924931,Stephanie Rubio,Machine Learning
205734,Paul West,Machine Learning
267638,Zachary Boyd,Data Science
329766,Julia Holder,Data Science
406761,Amy Dixon,Data Science
959961,Erin Mullen,Data Science
177613,Kathryn Camacho,Data Science
488831,Kara Mclaughlin,Web Development
658976,Mrs. Morgan Sullivan,Data Science
140370,Lisa Gray,Data Science
538492,Mark Jimenez,Artificial Intelligence
476654,Michael Long,Web Development
227544,Matthew Wade,Data Science
580194,Kimberly Medina,Web Development
648786,Crystal Buchanan,Network Security
464643,John Paul,Web Development
581977,Daniel Conrad,Artificial Intelligence
450268,Richard Huff,Web Development
540421,Terry Gray,Artificial Intelligence
485417,Justin Collins,Web Development
706413,Jessica Dickerson,Network Security
723561,Diane Nelson,Web Development
364588,Rachel Martinez,Artificial Intelligence
468604,Maxwell Macias,Machine Learning
721032,Crystal Fuller,Web Development
677757,Donna Howard,Machine Learning
577908,Jorge Owens,Machine Learning
730873,Debra Thompson,Machine Learning
144476,Wanda Campos,Network Security
431460,Walter Hernandez,Data Science
884871,Juan Smith,Network Security
980406,Erin Perez,Artificial Intelligence
186328,Amanda Lopez,Data Science
206456,Robert Norton,Network Security
704441,Anthony Simmons,Machine Learning
543045,Vincent Merritt,Machine Learning
746447,Cynthia Martinez,Network Security
122265,Danielle Matthews,Machine Learning
197627,Alejandra Ross,Web Development
176672,Brett Wilson DDS,Web Development
601395,Stephanie Wheeler,Data Science
661424,Shaun Ruiz,Artificial Intelligence
812997,Andrew Ibarra,Artificial Intelligence
413422,Lindsay Fernandez,Network Security
674865,Scott Higgins,Machine Learning
788806,Troy Schultz,Artificial Intelligence
153003,Allen Myers,Data Science
744357,Patrick Torres,Data Science
620913,Maria Morgan,Data Science
322335,Shelby Davis,Artificial Intelligence
296324,Erica Anderson,Web Development
230051,Robert Hinton,Network Security
452767,Cindy Alvarado,Artificial Intelligence
321728,Shannon Andrade,Web Development
266890,Brian White,Web Development
286797,Angela Norris,Network Security
370795,Benjamin Briggs,Artificial Intelligence
887673,Cole Walters,Data Science
268954,Wendy Mcgee,Network Security
194408,William Abbott,Machine Learning
894403,Rachel Davis,Network Security
403684,Patricia Glover,Network Security
488042,Kimberly Lewis,Network Security
389139,Rhonda Newman,Web Development
205632,Larry Jones,Data Science
783479,Raymond Bryant,Network Security
529856,Catherine Rogers,Network Security
631015,Marcus Perkins,Machine Learning
456129,Christopher Carlson,Machine Learning
696435,Kim Washington,Network Security
729591,April Matthews,Data Science
811661,Ronnie Schmidt,Machine Learning
388230,Kimberly Young,Artificial Intelligence
722222,Jon Sims,Machine Learning
851897,Dana Elliott,Machine Learning
601944,Jason Richardson,Machine Learning
469351,James Warren,Artificial Intelligence
960870,Christine Lopez,Network Security
335654,Lisa Dunlap,Artificial Intelligence
527272,Anthony Reed,Data Science
874270,Jeffrey Thompson,Network Security
843495,William Black,Data Science
506393,Jessica Mann,Web Development
122444,Kim Montgomery MD,Web Development
809361,Mary Jackson,Data Science
591106,Gary Salazar,Artificial Intelligence
372280,Shane Evans,Data Science
408988,Teresa Daniels,Web Development
769748,Barbara Rodriguez,Web Development
148650,Kenneth Black,Artificial Intelligence
558343,Hannah Thomas,Machine Learning
989792,Richard Valdez,Artificial Intelligence
731141,Philip Sanchez,Network Security
297758,Richard Carlson,Artificial Intelligence
150807,Lynn Kaufman,Artificial Intelligence
545523,Brandi Collier,Artificial Intelligence
246513,Jessica Evans,Web Development
207784,Diane Williams,Machine Learning
719522,Gregory Valdez,Artificial Intelligence
640723,Austin Aguirre,Data Science
493398,Michael Perkins,Web Development
488209,Todd Caldwell,Machine Learning
640899,Brent Yang,Artificial Intelligence
692637,Nicole Mason,Artificial Intelligence
276524,Jennifer Thompson,Web Development
309989,William Ryan,Data Science
296166,Angela Johnson,Web Development
152994,William Morris,Data Science
654405,Stacey Romero DDS,Artificial Intelligence
435908,Mary Yang,Web Development
752968,Brett Glenn,Artificial Intelligence
894710,Nancy Ward,Artificial Intelligence
892369,Jonathan Gordon,Artificial Intelligence
610583,Erika Young,Artificial Intelligence
518567,Patricia Castro,Web Development
245814,Kaylee Olson,Data Science
815151,Stephanie Chavez,Web Development
855707,Rose Torres,Network Security
593464,Donald Lynn,Network Security
756528,Kathryn Nicholson,Artificial Intelligence
370722,Mark Hamilton,Artificial Intelligence
925433,Patrick Stone,Machine Learning
312414,Cody Thompson,Data Science
727207,Sydney Guzman,Web Development
797543,Sandra Reynolds,Artificial Intelligence
837446,Tracy Riley,Artificial Intelligence
583180,John Freeman,Machine Learning
376812,Timothy Hickman,Data Science
247703,Kaitlin Boyd,Machine Learning
120538,Rebecca Lee,Artificial Intelligence
830551,Jennifer Harris,Network Security
305075,Kimberly Solis,Web Development
190447,Sergio Morales,Data Science
518219,Robert Johnson,Network Security
971169,Calvin Greene,Network Security
841021,Adam Douglas,Data Science
516731,Linda Waters,Network Security
540688,Donna Smith,Data Science
573875,Robin Clark DDS,Machine Learning
457303,Logan Davenport,Network Security
467578,Kelsey Knox,Network Security
539034,Melanie Wise,Network Security
181894,Michael Jenkins,Network Security
677105,Jimmy Walters,Artificial Intelligence
173288,Eric Washington,Network Security
151155,Sandra Roberts MD,Web Development
213221,Devin Ramos,Artificial Intelligence
332227,Albert Mclaughlin,Web Development
728830,Matthew Brady,Network Security
299122,Bryan Blankenship,Machine Learning
898248,Brittany Diaz,Data Science
937465,Alejandro Hill,Artificial Intelligence
112178,Austin Carrillo,Network Security
661123,Alexis Thompson,Network Security
317340,Daniel Long,Web Development
419514,Laura Harvey,Data Science
212233,Isaiah Foster,Network Security
327506,Desiree Patterson,Artificial Intelligence
589888,Diane Mcgee,Machine Learning
525100,Matthew James,Artificial Intelligence
362257,Louis Johnson,Artificial Intelligence
160740,Nicholas Rojas,Network Security
871426,Darlene Smith,Web Development
802084,Terri Cruz,Web Development
528239,Diana Johnson,Web Development
782189,Steve Patterson,Machine Learning
303390,Roger Werner,Artificial Intelligence
327622,Dylan Brown,Data Science
327559,Christopher Doyle,Machine Learning
821515,Adam Elliott,Artificial Intelligence
660984,Samantha Smith,Data Science
153780,Jacqueline Garza,Data Science
471849,Sarah Brown,Network Security
632225,Brandi Mckee,Network Security
345721,Tyler Jones,Data Science
280336,Richard Thompson,Machine Learning
495448,Jessica Knox,Web Development
655498,Veronica Banks,Data Science
459279,James Johnson,Web Development
678809,Ryan Simon,Machine Learning
616254,Pamela Brown,Artificial Intelligence
773451,Craig Young,Artificial Intelligence
673709,Robert Dyer,Data Science
592188,Mariah Blankenship,Network Security
311480,Thomas Nguyen,Artificial Intelligence
719530,Gregory Martin,Data Science
301524,Robert Clayton,Network Security
634801,Becky Mack,Data Science
970458,Randy Guerra,Network Security
251849,Michelle Moore,Artificial Intelligence
230146,Eric West,Network Security
624064,Jack Lewis,Artificial Intelligence
335783,Natalie Pena,Web Development
474198,Danielle Ramirez,Network Security
924737,Danielle Vasquez,Artificial Intelligence
419320,Rhonda Johnson,Web Development
508467,Catherine Atkinson,Web Development
613518,Pamela Underwood,Data Science
649349,Jason Fields,Web Development
259876,Jessica Wilson,Machine Learning
375023,Hannah Chandler,Web Development
176874,Jason Gonzalez,Data Science
353261,Sarah Garner,Data Science
497836,Dawn Craig,Web Development
201317,Dawn Williamson,Network Security
994351,Margaret Watts,Data Science
556001,Logan Chambers,Data Science
927111,Elizabeth Anderson,Machine Learning
735446,Max Vincent,Artificial Intelligence
768400,Caitlin Novak,Artificial Intelligence
324965,Tonya Byrd,Data Science
547488,Todd Escobar,Machine Learning
463184,Melinda Zimmerman,Web Development
470562,Andrea Daniels,Web Development
329452,Lori Marshall,Network Security
297741,Joseph Schroeder,Network Security
369918,Elizabeth Woodard,Artificial Intelligence
370559,Kristine Wagner,Machine Learning
274444,Mary Velez,Machine Learning
939769,Michelle Lewis,Data Science
921850,Ashley Maldonado,Web Development
100149,Patrick Martinez,Network Security
224757,Andrea Morse,Data Science
696721,Michelle Thomas,Artificial Intelligence
467604,Troy Moore,Web Development
566229,Matthew Haney,Data Science
492661,Amanda Baker,Network Security
176916,Jon Fry,Data Science
517504,Cheryl Goodwin,Artificial Intelligence
151055,Jay Miller,Machine Learning
979612,Peter Benton,Machine Learning
293599,Michelle White,Machine Learning
115622,William Nichols,Machine Learning
403802,Kevin Lindsey,Network Security
812426,Mr. Kevin Johnson DVM,Web Development
400023,Jacob Coleman,Artificial Intelligence
564863,Nicholas Murillo,Data Science
958862,Kenneth Davis,Network Security
912556,Jacqueline Jackson,Machine Learning
722524,Ashley Dunn,Network Security
564789,Michael Walker,Data Science
895312,Elizabeth Hall,Artificial Intelligence
437475,Karen Estes,Artificial Intelligence
260527,Michael Austin,Artificial Intelligence
873650,Ellen Davis,Web Development
210178,James Martinez,Web Development
760114,Edward Leon,Machine Learning
679016,Ronald Irwin,Network Security
794587,Christina Glover,Network Security
722067,Nicole Montgomery,Artificial Intelligence
823924,Anthony Yang,Machine Learning
168764,James Davis,Network Security
443866,Amber Pearson,Network Security
177191,Daniel Strong,Data Science
548552,Amanda Foster,Machine Learning
917451,Sylvia Baker,Artificial Intelligence
584915,William Park,Data Science
115609,Angela Cummings,Artificial Intelligence
494702,Sheri Casey,Artificial Intelligence
860137,Karen Lewis,Machine Learning
889122,Stephanie Sandoval,Data Science
750115,Tristan Kim,Network Security
498247,Robert Cruz,Machine Learning
507490,Randall Miller,Artificial Intelligence
786454,Justin Walker,Data Science
423730,David Freeman,Artificial Intelligence
695899,Lindsey Winters,Artificial Intelligence
495557,Tony Shannon,Data Science
536884,Adam Rodriguez,Network Security
480914,Joseph Taylor,Data Science
545055,Johnny Moreno,Network Security
570744,Jacob Ramos,Data Science
530567,Jill Delgado,Web Development
344145,Misty Park,Data Science
600078,Lisa Ellis,Artificial Intelligence
664575,Amanda Taylor,Machine Learning
287657,Helen Phillips,Artificial Intelligence
945454,Sarah Moore,Data Science
105393,Sarah Davila,Data Science
523956,James Morales,Data Science
401546,David English,Network Security
375366,Ms. Deanna Johnson,Machine Learning
909366,Karen Ross,Web Development
807418,Steven Gallagher,Machine Learning
200488,Robert Gregory,Network Security
819051,Courtney Hall,Machine Learning
936319,Terry Webb,Machine Learning
847193,Ryan Wilkerson,Data Science
201364,Angela Eaton,Web Development
454134,Jessica Smith,Network Security
505998,Tracy Schneider,Artificial Intelligence
723641,Eric Davis,Data Science
340414,Heather Brewer,Web Development
353461,Edward Rodriguez,Web Development
756387,Stacy Brewer,Artificial Intelligence
405796,John Wallace,Data Science
263100,Patrick Maynard,Artificial Intelligence
664696,Jonathan Johnson,Artificial Intelligence
704875,Neil Allen Jr.,Artificial Intelligence
627075,Richard Myers,Data Science
504088,Barbara Simmons,Network Security
285886,Christine Watts,Data Science
363782,Paul George,Machine Learning
594349,Madison Johnson,Network Security
842329,Jill Clark,Artificial Intelligence
816681,Richard Silva,Machine Learning
278013,Monica Mckee,Network Security
779558,Brandon Bautista,Web Development
554777,James Hood,Network Security
526109,Chelsey Cooper,Web Development
835014,Anthony Boyd,Machine Learning
868438,Joshua Rice,Artificial Intelligence
442522,Thomas Tapia,Artificial Intelligence
913340,Jennifer Robinson,Web Development
115649,Denise Andrews,Web Development
794351,Caitlin Brock,Web Development
749878,Nicole Blake,Data Science
539483,Lisa Matthews,Data Science
599114,Cheryl Johnson,Artificial Intelligence
436455,Lisa Moore,Machine Learning
